0,2,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,2,Not Full
7,6,Not Full
8,8,Not Full
9,13,Not Full
10,15,Full
11,18,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,16,Full
18,14,Not Full
19,10,Not Full
20,8,Not Full
21,6,Not Full
22,2,Not Full
23,2,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,5,Not Full
7,8,Not Full
8,10,Not Full
9,12,Not Full
10,15,Full
11,18,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,15,Full
19,12,Not Full
20,9,Not Full
21,6,Not Full
22,4,Not Full
23,2,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,2,Not Full
6,4,Not Full
7,8,Not Full
8,12,Not Full
9,14,Not Full
10,18,Full
11,18,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,17,Full
17,15,Full
18,14,Not Full
19,12,Not Full
20,8,Not Full
21,6,Not Full
22,6,Not Full
23,4,Not Full
0,2,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,4,Not Full
7,5,Not Full
8,6,Not Full
9,11,Not Full
10,11,Not Full
11,13,Not Full
12,15,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,18,Full
18,14,Not Full
19,13,Not Full
20,10,Not Full
21,8,Not Full
22,5,Not Full
23,3,Not Full
0,1,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,0,Not Full
7,0,Not Full
8,0,Not Full
9,4,Not Full
10,8,Not Full
11,10,Not Full
12,11,Not Full
13,12,Not Full
14,13,Not Full
15,14,Not Full
16,15,Full
17,14,Not Full
18,10,Not Full
19,8,Not Full
20,6,Not Full
21,2,Not Full
22,0,Not Full
23,0,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,0,Not Full
7,0,Not Full
8,3,Not Full
9,5,Not Full
10,8,Not Full
11,12,Not Full
12,14,Not Full
13,14,Not Full
14,14,Not Full
15,14,Not Full
16,14,Not Full
17,12,Not Full
18,10,Not Full
19,5,Not Full
20,3,Not Full
21,0,Not Full
22,0,Not Full
23,0,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,3,Not Full
7,6,Not Full
8,7,Not Full
9,11,Not Full
10,13,Not Full
11,15,Full
12,16,Full
13,17,Full
14,18,Full
15,18,Full
16,18,Full
17,18,Full
18,17,Full
19,14,Not Full
20,10,Not Full
21,10,Not Full
22,7,Not Full
23,2,Not Full
0,1,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,3,Not Full
7,5,Not Full
8,10,Not Full
9,13,Not Full
10,15,Full
11,17,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,15,Full
19,13,Not Full
20,13,Not Full
21,10,Not Full
22,7,Not Full
23,3,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,2,Not Full
6,4,Not Full
7,8,Not Full
8,13,Not Full
9,15,Full
10,18,Full
11,18,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,14,Not Full
19,14,Not Full
20,14,Not Full
21,9,Not Full
22,5,Not Full
23,2,Not Full
0,2,Not Full
1,1,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,4,Not Full
7,7,Not Full
8,11,Not Full
9,15,Full
10,18,Full
11,18,Full
12,18,Full
13,17,Full
14,18,Full
15,18,Full
16,18,Full
17,16,Full
18,14,Not Full
19,12,Not Full
20,6,Not Full
21,2,Not Full
22,4,Not Full
23,1,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,4,Not Full
7,10,Not Full
8,12,Not Full
9,12,Not Full
10,15,Full
11,16,Full
12,17,Full
13,18,Full
14,18,Full
15,17,Full
16,15,Full
17,15,Full
18,13,Not Full
19,10,Not Full
20,10,Not Full
21,6,Not Full
22,6,Not Full
23,6,Not Full
0,5,Not Full
1,5,Not Full
2,3,Not Full
3,1,Not Full
4,0,Not Full
5,0,Not Full
6,0,Not Full
7,0,Not Full
8,0,Not Full
9,0,Not Full
10,6,Not Full
11,6,Not Full
12,8,Not Full
13,10,Not Full
14,10,Not Full
15,10,Not Full
16,12,Not Full
17,14,Not Full
18,14,Not Full
19,12,Not Full
20,10,Not Full
21,5,Not Full
22,5,Not Full
23,5,Not Full
0,0,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,0,Not Full
7,2,Not Full
8,5,Not Full
9,8,Not Full
10,10,Not Full
11,11,Not Full
12,11,Not Full
13,11,Not Full
14,11,Not Full
15,14,Not Full
16,15,Full
17,15,Full
18,15,Full
19,16,Full
20,12,Not Full
21,12,Not Full
22,10,Not Full
23,4,Not Full
0,2,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,5,Not Full
7,10,Not Full
8,12,Not Full
9,15,Full
10,16,Full
11,17,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,15,Full
19,14,Not Full
20,14,Not Full
21,12,Not Full
22,8,Not Full
23,4,Not Full
0,2,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,6,Not Full
7,12,Not Full
8,10,Not Full
9,10,Not Full
10,15,Full
11,15,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,15,Full
19,14,Not Full
20,12,Not Full
21,12,Not Full
22,9,Not Full
23,5,Not Full
0,2,Not Full
1,0,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,2,Not Full
6,6,Not Full
7,10,Not Full
8,13,Not Full
9,15,Full
10,17,Full
11,18,Full
12,18,Full
13,18,Full
14,18,Full
15,18,Full
16,18,Full
17,17,Full
18,18,Full
19,14,Not Full
20,10,Not Full
21,12,Not Full
22,7,Not Full
23,5,Not Full
0,3,Not Full
1,1,Not Full
2,0,Not Full
3,0,Not Full
4,0,Not Full
5,0,Not Full
6,5,Not Full
7,8,Not Full
8,10,Not Full
9,12,Not Full
10,14,Not Full
11,16,Full
12,18,Full
13,18,Full
14,18,Full
15,17,Full
16,17,Full
